Oin	 Midblock Route	 Side 1 Route	 Side 2 Route	 Activation Date	 Latitude	 Longitude	 Count Date	 8HrVehVol	 8HrPedVol
 8	 JARVIS ST		 DUNDAS ST E		 21-Jun-1928	 43.657	 -79.374531	 4/13/15	 18207	 7458
 15	 CHURCH ST		 FRONT ST E	 WELLINGTON ST E	 24-Apr-1950	 43.649	 -79.3738335	 4/20/15	 10467	 7381
 21	 DUNDAS ST E		 CHURCH ST		 17-Dec-1952	 43.656	 -79.377127	 4/13/15	 13764	 10302
 31	 YONGE ST		 KING ST		 03-Nov-1927	 43.649	 -79.377904	 1/22/15	 13527	 33938
 36	 YONGE ST		 DUNDAS ST		 04-Apr-1927	 43.656	 -79.380912	 4/11/15	 10925	 34615
 66	 DUNDAS ST W		 BAY ST		 28-Jun-1928	 43.656	 -79.383734	 4/13/15	 16598	 31918
 71	 YORK ST		 WELLINGTON ST W		 22-Jun-1928	 43.647	 -79.383007	 4/18/15	 6498	 6101
 75	 UNIVERSITY AVE		 YORK ST	 FRONT ST W	 14-Jun-1928	 43.645	 -79.382476	 4/20/15	 15386	 19707
 76	 UNIVERSITY AVE		 WELLINGTON ST W		 17-Feb-1932	 43.646	 -79.384076	 4/20/15	 18390	 18152
 77	 UNIVERSITY AVE		 KING ST W		 15-Feb-1932	 43.648	 -79.384788	 1/22/15	 19291	 17345
 81	 UNIVERSITY AVE		 DUNDAS ST W		 28-Jun-1928	 43.655	 -79.388484	 4/11/15	 21879	 12603
 100	 BATHURST ST		 EGLINTON AVE W		 01-Jan-1967	 43.701	 -79.425534	 4/11/15	 20547	 2504
 134	 MOUNT PLEASANT RD		 ST CLAIR AVE E		 23-May-1950	 43.69	 -79.383288	 6/1/15	 24433	 582
 156	 KINGSTON RD		 WARDEN AVE		 31-Jan-1958	 43.688	 -79.270928	 5/6/15	 12693	 977
 162	 KINGSTON RD		 WOODBINE AVE		 09-Jun-1929	 43.674	 -79.307902	 4/25/15	 22781	 1002
 163	 KINGSTON RD		 DUNDAS ST E	 DIXON AVE	 03-Mar-1953	 43.67	 -79.311169	 4/11/15	 8523	 823
 180	 DUNDAS ST W		 OSSINGTON AVE		 09-Apr-1929	 43.649	 -79.42078	 4/11/15	 11860	 7315
 181	 DUNDAS ST W		 LANSDOWNE AVE		 14-Oct-1948	 43.65	 -79.439714	 4/11/15	 13572	 2756
 183	 DUNDAS ST W		 BROCK AVE		 17-Dec-1952	 43.65	 -79.435598	 4/8/15	 10205	 2094
 185	 JANE ST		 DUNDAS ST W		 31-Jan-1958	 43.666	 -79.491175	 4/18/15	 24731	 1240
 186	 DUNDAS ST W		 RUNNYMEDE RD		 22-Oct-1948	 43.666	 -79.482104	 4/18/15	 17291	 1249
 188	 DUNDAS ST W		 KEELE ST		 07-Apr-1928	 43.665	 -79.464561	 4/18/15	 18937	 4698
 190	 DUFFERIN ST		 DUNDAS ST W		 17-Nov-1948	 43.65	 -79.431438	 4/11/15	 14442	 5244
 196	 DUNDAS ST W		 BATHURST ST		 27-Aug-1953	 43.652	 -79.406015	 4/11/15	 15414	 10194
 198	 SIMCOE ST		 ADELAIDE ST W		 13-May-1960	 43.649	 -79.386558	 8/31/15	 7279	 6248
